unit,cycle,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,P50,Nf,Nc,Wf,alt,Mach,TRA,T2,C-1,C-2,Segm K-means PCA,class
1.0,18.0,561.2383502412813,1300.6051270744863,1579.2368370335153,1090.6406391995592,11.947807033265567,9.504761906113169,12.129753333264539,14.628218040781162,209.90645500189254,213.8260914470649,8.976623498219404,1906.9272049780602,8144.089898692896,2.1489926280604976,17185.216802168023,0.5788586798722182,54.26671556922479,488.0382386286104,1.566104149836151,0.5114838578438563,1.0,1.0
1.0,21.0,561.2731971721306,1300.6557798665017,1579.9718601456207,1091.1270378061251,11.948334539596576,9.505469095395526,12.130288872686878,14.630679026176836,209.77204151942007,213.6898055645462,8.976082076563522,1906.859590490735,8143.209458556852,2.149227508855512,17183.181081081082,0.5788460401264397,54.259009985021656,488.0446394580106,1.5639994742713461,0.510118207863437,1.0,1.0
1.0,61.0,561.3482009241969,1301.4389531243114,1590.2720400873397,1100.7861407550217,11.945044676335865,9.51266578990366,12.126948909985648,14.629598576464577,210.0165191787363,213.7458264417374,8.976750334539693,1905.2665006676216,8139.161790749961,2.15861785263839,17161.726790450928,0.578678559561307,54.090349880390534,488.1084737336553,1.50396149582088,0.46853093306265214,1.0,1.0
1.0,70.0,561.5118467009395,1303.2396333576949,1604.1652504164636,1113.7125584463938,11.940532006369688,9.515185973635358,12.122367519157045,14.631603658231082,210.7841395816806,214.29219358393107,8.979071692355607,1904.567351061833,8137.018094142536,2.1768425691525897,17154.018469656992,0.5786094509831834,54.017100935561054,488.13046605901695,1.41223004710872,0.3940250096323952,1.0,1.0
2.0,1.0,551.6728425288677,1308.7096660273317,1627.6859718356623,1082.7714298277374,9.608668171999675,7.2314913310656275,9.754993068019974,12.16989395211768,188.99409932535818,192.20904803704877,6.9123141911727135,2032.0937836833466,8173.251063206118,2.0284953391596137,25652.32531135874,0.6746869168039096,72.08725582565393,466.1230568447515,3.4863968081470267,-1.5907415788884023,1.0,3.0
2.0,2.0,541.6952572483592,1289.5351577805527,1607.0518166322909,1070.3481188859841,8.889543780683336,6.677666023042385,9.024917543840951,11.254313058521635,176.3214112547179,179.28820744633109,6.505341116709804,2016.8122495596656,8111.500116708929,1.8839028028346911,26730.244555002762,0.63627939229515,72.45419287842371,457.71304685272275,4.355048849969272,-1.4421542379719776,1.0,3.0
2.0,3.0,551.2390187439287,1313.5075248612823,1639.6181219085788,1090.3048560289956,9.606730881952755,7.182506018205625,9.753026276094166,12.200006814374422,192.06520157499585,195.28922435744195,7.013352604338067,2046.9927237621898,8189.000899701753,2.0754917538569995,25199.858650584243,0.6438001411065847,74.04996653210655,464.4298179459354,3.310523969062927,-1.7064162065423614,1.0,3.0
2.0,4.0,542.7651204849122,1295.3869138569758,1619.6374942306306,1068.3554691177296,8.56956255632383,6.372383165721131,8.700063508958202,10.926255253994118,172.26593997704794,175.13319057656616,6.09858437465869,2044.8136523831013,8130.879370301301,1.8494387666880165,28886.75345141087,0.695265801368446,75.84895114666188,455.85853768804697,4.667155757362238,-1.9551013859089896,1.0,3.0
2.0,5.0,564.7949851808107,1326.6718789523072,1635.5372436424202,1107.510874353255,11.603451449729464,8.933359489294045,11.78015375607052,14.48582540672352,218.90429536427018,222.77353246450616,8.59241999302756,1999.6196612299163,8231.522875839804,2.328997497506182,19194.605974025973,0.6051892212149385,64.34664334681128,483.2015010444743,1.3424741087774288,-0.6896633713998392,1.0,3.0
2.0,6.0,558.8236876717276,1311.808636544973,1615.5348677147215,1088.9948762290994,10.789637150653075,8.309395998415694,10.953946345840684,13.487316317557209,202.89759095330766,206.4915818575343,7.832238619475448,1992.1864035980689,8184.304445512254,2.1394691765372764,21588.265713387806,0.6403275606937187,64.718251283479,477.9054586349564,2.387507164624608,-0.7868659962363369,1.0,3.0
